CustomerID,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn
1,619.0,Female,42.0,2.0,0.0,1.0,1,1,101348.88,Yes
2,608.0,Female,41.0,1.0,83807.86,1.0,0,1,112542.58,No
3,502.0,Female,42.0,8.0,159660.8,3.0,1,0,113931.57,No
4,699.0,Female,39.0,1.0,0.0,2.0,0,0,93826.63,Yes
5,850.0,Female,43.0,2.0,125510.82,1.0,1,1,79084.1,No
6,645.0,Male,44.0,8.0,113755.78,2.0,1,0,149756.71,No
7,822.0,Male,50.0,7.0,0.0,2.0,1,1,10062.8,No
8,382.0,Female,29.0,4.0,115046.74,3.5,1,0,119346.88,No
9,501.0,Male,44.0,4.0,142051.07,2.0,0,1,74940.5,No
10,684.0,Male,27.0,2.0,134603.88,1.0,1,1,71725.73,No
11,528.0,Male,31.0,6.0,102016.72,2.0,0,0,80181.12,No
12,497.0,Male,24.0,3.0,0.0,2.0,1,0,76390.01,Yes
13,476.0,Female,34.0,10.0,0.0,2.0,1,0,26260.98,No
14,549.0,Female,25.0,5.0,0.0,2.0,0,0,190857.79,No
15,635.0,Female,35.0,7.0,0.0,2.0,1,1,65951.65,No
16,616.0,Male,45.0,3.0,143129.41,2.0,0,1,64327.26,No
17,653.0,Male,58.0,1.0,132602.88,1.0,1,0,5097.67,No
18,549.0,Female,24.0,9.0,0.0,2.0,1,1,14406.41,No
19,587.0,Male,45.0,6.0,0.0,1.0,0,0,158684.81,No
20,726.0,Male,24.0,6.0,0.0,2.0,1,1,54724.03,No
21,732.0,Male,41.0,8.0,0.0,2.0,1,1,170886.17,No
22,636.0,Female,32.0,8.0,0.0,2.0,1,0,138555.46,No
23,510.0,Female,38.0,4.0,0.0,1.0,1,0,118913.53,No
24,669.0,Male,46.0,3.0,0.0,2.0,0,1,8487.75,Yes
25,846.0,Female,38.0,5.0,0.0,1.0,1,1,187616.16,No
26,577.0,Male,25.0,3.0,0.0,2.0,0,1,124508.29,Yes
27,756.0,Male,36.0,2.0,136815.64,1.0,1,1,170041.95,Yes
28,571.0,Male,44.0,9.0,0.0,2.0,0,0,38433.35,No
29,574.0,Female,43.0,3.0,141349.43,1.0,1,1,100187.43,Yes
30,411.0,Male,29.0,0.0,59697.17,2.0,1,1,53483.21,No
31,591.0,Female,39.0,3.0,0.0,3.0,1,0,140469.38,Yes
32,533.0,Male,36.0,7.0,85311.7,1.0,0,1,156731.91,No
33,553.0,Male,41.0,9.0,110112.54,2.0,0,0,81898.81,No
34,520.0,Female,42.0,6.0,0.0,2.0,1,1,34410.55,No
35,722.0,Female,29.0,9.0,0.0,2.0,1,1,142033.07,No
36,475.0,Female,45.0,0.0,134264.04,1.0,1,0,27822.99,No
37,490.0,Male,31.0,3.0,145260.23,1.0,0,1,114066.77,Yes
38,804.0,Male,33.0,7.0,76548.6,1.0,0,1,98453.45,No
40,582.0,Male,41.0,6.0,70349.48,2.0,0,1,178074.04,No
42,465.0,Female,51.0,8.0,122522.32,1.0,0,0,181297.65,No
43,556.0,Female,61.0,2.0,117419.35,1.0,1,1,94153.83,No
44,834.0,Male,49.0,2.0,131394.56,1.0,0,0,194365.76,Yes
45,660.0,Female,61.0,5.0,155931.11,1.0,1,1,158338.39,No
46,776.0,Female,32.0,4.0,109421.13,2.0,1,1,126517.46,No
47,829.0,Female,27.0,9.0,112045.67,1.0,1,1,119708.21,No
48,637.0,Female,39.0,9.0,137843.8,1.0,1,1,117622.8,No
49,550.0,Male,38.0,2.0,103391.38,1.0,0,1,90878.13,No
50,776.0,Female,37.0,2.0,103769.22,2.0,1,0,194099.12,Yes
51,698.0,Male,44.0,10.0,116363.37,2.0,1,0,198059.16,No
52,585.0,Male,36.0,5.0,146050.97,2.0,0,0,86424.57,No
53,788.0,Female,33.0,5.0,0.0,2.0,0,0,116978.19,No
54,655.0,Male,41.0,8.0,125561.97,1.0,0,0,164040.94,No
55,601.0,Male,42.0,1.0,98495.72,1.0,1,0,40014.76,No
56,619.0,Male,43.0,1.0,125211.92,1.0,1,1,113410.49,No
57,656.0,Male,45.0,5.0,127864.4,1.0,1,0,87107.57,No
58,725.0,Male,19.0,0.0,75888.2,1.0,0,0,45613.75,No
59,511.0,Female,62.0,4.0,0.0,1.0,1,0,1643.11,No
60,614.0,Male,51.0,4.0,40685.92,1.0,1,1,46775.28,No
61,742.0,Male,35.0,5.0,136857.0,1.0,0,0,84509.57,No
62,687.0,Female,27.0,9.0,152328.88,2.0,0,0,126494.82,No
63,555.0,Male,33.0,1.0,56084.69,2.0,0,0,178798.13,Yes
64,684.0,Male,56.0,8.0,78707.16,1.0,1,1,99398.36,No
65,603.0,Male,26.0,4.0,109166.37,1.0,1,1,92840.67,No
66,751.0,Female,36.0,6.0,169831.46,2.0,1,1,27758.36,No
67,581.0,Female,34.0,1.0,101633.04,1.0,1,0,110431.51,No
68,735.0,Male,43.0,10.0,123180.01,2.0,1,1,196673.28,No
69,661.0,Female,35.0,5.0,150725.53,2.0,0,1,113656.85,No
