CustomerID,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
1,619.0,Female,42.0,2.0,0.0,1.0,1,1,101348.88
2,608.0,Female,41.0,1.0,83807.86,1.0,0,1,112542.58
3,502.0,Female,42.0,8.0,159660.8,3.0,1,0,113931.57
4,699.0,Female,39.0,1.0,0.0,2.0,0,0,93826.63
5,850.0,Female,43.0,2.0,125510.82,1.0,1,1,79084.1
6,645.0,Male,44.0,8.0,113755.78,2.0,1,0,149756.71
7,822.0,Male,50.0,7.0,0.0,2.0,1,1,10062.8
8,382.0,Female,29.0,4.0,115046.74,3.5,1,0,119346.88
9,501.0,Male,44.0,4.0,142051.07,2.0,0,1,74940.5
10,684.0,Male,27.0,2.0,134603.88,1.0,1,1,71725.73
11,528.0,Male,31.0,6.0,102016.72,2.0,0,0,80181.12
12,497.0,Male,24.0,3.0,0.0,2.0,1,0,76390.01
13,476.0,Female,34.0,0.0,0.0,2.0,1,0,26260.98
14,549.0,Female,25.0,5.0,0.0,2.0,0,0,190857.79
15,635.0,Female,35.0,7.0,0.0,2.0,1,1,65951.65
16,616.0,Male,45.0,3.0,143129.41,2.0,0,1,64327.26
17,653.0,Male,58.0,1.0,132602.88,1.0,1,0,5097.67
18,549.0,Female,24.0,9.0,0.0,2.0,1,1,14406.41
19,587.0,Male,45.0,6.0,0.0,1.0,0,0,158684.81
20,726.0,Male,37.0,6.0,0.0,2.0,1,1,54724.03
21,732.0,Male,41.0,8.0,0.0,2.0,1,1,170886.17
22,636.0,Female,32.0,8.0,0.0,2.0,1,0,138555.46
23,510.0,Female,38.0,4.0,0.0,1.0,1,0,118913.53
24,669.0,Male,46.0,3.0,0.0,2.0,0,1,8487.75
25,846.0,Female,38.0,5.0,0.0,1.0,1,1,187616.16
26,577.0,Male,25.0,3.0,0.0,2.0,0,1,124508.29
27,756.0,Male,36.0,2.0,136815.64,1.0,1,1,170041.95
28,571.0,Male,44.0,9.0,0.0,2.0,0,0,38433.35
29,574.0,Female,43.0,3.0,141349.43,1.0,1,1,100187.43
30,411.0,Male,29.0,0.0,59697.17,2.0,1,1,53483.21
31,591.0,Female,39.0,3.0,0.0,3.0,1,0,140469.38
32,533.0,Male,36.0,7.0,85311.7,1.0,0,1,156731.91
33,553.0,Male,41.0,9.0,110112.54,2.0,0,0,81898.81
34,520.0,Female,42.0,6.0,0.0,2.0,1,1,34410.55
35,722.0,Female,29.0,9.0,0.0,2.0,1,1,142033.07
36,475.0,Female,45.0,0.0,134264.04,1.0,1,0,27822.99
37,490.0,Male,31.0,3.0,145260.23,1.0,0,1,114066.77
38,804.0,Male,33.0,7.0,76548.6,1.0,0,1,98453.45
40,582.0,Male,41.0,6.0,70349.48,2.0,0,1,178074.04
42,465.0,Female,51.0,8.0,122522.32,1.0,0,0,181297.65
43,556.0,Female,37.0,2.0,117419.35,1.0,1,1,94153.83
44,834.0,Male,49.0,2.0,131394.56,1.0,0,0,194365.76
45,660.0,Female,61.0,5.0,155931.11,1.0,1,1,158338.39
46,776.0,Female,32.0,4.0,109421.13,2.0,1,1,126517.46
47,829.0,Female,27.0,9.0,112045.67,1.0,1,1,119708.21
48,637.0,Female,39.0,9.0,137843.8,1.0,1,1,117622.8
49,550.0,Male,38.0,2.0,103391.38,1.0,0,1,90878.13
50,776.0,Female,37.0,2.0,103769.22,2.0,1,0,194099.12
51,698.0,Male,44.0,10.0,116363.37,2.0,1,0,198059.16
52,585.0,Male,36.0,5.0,146050.97,2.0,0,0,86424.57
53,788.0,Female,33.0,5.0,0.0,2.0,0,0,116978.19
