CustomerID,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
1,619,Female,42,2,0,1,1,1,101348.88
2,608,Female,41,1,83807.86,1,0,1,112542.58
3,502,Female,42,8,159660.8,3,1,0,113931.57
4,699,Female,39,1,0,2,0,0,93826.63
5,850,Female,43,2,125510.82,1,1,1,79084.1
6,645,Male,44,8,113755.78,2,1,0,149756.71
7,822,Male,50,7,0,2,1,1,10062.8
8,376,Female,29,4,115046.74,4,1,0,119346.88
9,501,,44,4,142051.07,2,0,1,74940.5
10,684,Male,27,2,134603.88,1,1,1,71725.73
11,528,Male,31,6,102016.72,2,0,0,80181.12
12,497,Male,24,3,0,2,1,0,76390.01
13,476,Female,34,10,0,2,1,0,26260.98
14,549,Female,25,5,0,2,0,0,190857.79
15,635,Female,35,7,0,2,1,1,65951.65
16,616,Male,45,3,143129.41,2,0,1,64327.26
17,653,Male,58,1,132602.88,1,1,0,5097.67
18,549,Female,24,9,0,2,1,1,14406.41
19,587,Male,45,6,0,1,0,0,158684.81
20,726,,24,6,0,2,1,1,54724.03
21,732,Male,41,8,0,2,1,1,170886.17
22,636,Female,32,8,0,2,1,0,138555.46
23,510,Female,38,4,0,1,1,0,118913.53
24,669,Male,46,3,0,2,0,1,8487.75
25,846,Female,38,5,0,1,1,1,187616.16
26,577,Male,25,3,0,2,0,1,124508.29
27,756,Male,36,2,136815.64,1,1,1,170041.95
28,571,Male,44,9,0,2,0,0,38433.35
29,574,Female,43,3,141349.43,1,1,1,100187.43
30,411,Male,29,0,59697.17,2,1,1,53483.21
31,591,Female,39,3,0,3,1,0,140469.38
32,533,Male,36,7,85311.7,1,0,1,156731.91
33,553,Male,41,9,110112.54,2,0,0,81898.81
34,520,Female,42,6,0,2,1,1,34410.55
35,722,Female,29,9,0,2,1,1,142033.07
36,475,Female,45,0,134264.04,1,1,0,27822.99
37,490,Male,31,3,145260.23,1,0,1,114066.77
38,804,Male,33,7,76548.6,1,0,1,98453.45
39,850,Male,,7,0,1,1,1,40812.9
40,582,Male,41,6,70349.48,2,0,1,178074.04
41,472,Male,40,,0,1,1,0,70154.22
42,465,Female,51,8,122522.32,1,0,0,181297.65
43,556,Female,61,2,117419.35,1,1,1,94153.83
44,834,,49,2,131394.56,1,0,0,194365.76
45,660,Female,61,5,155931.11,1,1,1,158338.39
46,776,Female,32,4,109421.13,2,1,1,126517.46
47,829,Female,27,9,112045.67,1,1,1,119708.21
48,637,Female,39,9,137843.8,1,1,1,117622.8
49,550,Male,38,2,103391.38,1,0,1,90878.13
50,776,Female,37,2,103769.22,2,1,0,194099.12
51,698,Male,44,10,116363.37,2,1,0,198059.16
52,585,Male,36,5,146050.97,2,0,0,86424.57
53,788,F,33,5,0,2,0,0,116978.19
54,655,Male,41,8,125561.97,1,0,0,164040.94
55,601,Male,42,1,98495.72,1,1,0,40014.76
56,619,Male,43,1,125211.92,1,1,1,113410.49
57,656,Male,45,5,127864.4,1,1,0,87107.57
58,725,Male,19,0,75888.2,1,0,0,45613.75
59,511,Female,66,4,0,1,1,0,1643.11
60,614,Male,51,4,40685.92,1,1,1,46775.28
61,742,Male,35,5,136857,1,0,0,84509.57
62,687,Female,27,9,152328.88,2,0,0,126494.82
63,555,Male,33,1,56084.69,2,0,0,178798.13
64,684,m,56,8,78707.16,1,1,1,99398.36
65,603,Male,26,4,109166.37,1,1,1,92840.67
66,751,Female,36,6,169831.46,2,1,1,27758.36
67,581,Female,34,1,101633.04,1,1,0,110431.51
68,735,Male,43,10,123180.01,2,1,1,196673.28
69,661,Female,35,5,150725.53,2,0,1,113656.85
70,675,F,21,8,98373.26,1,1,0,18203
71,738,Male,58,2,133745.44,4,1,0,28373.86
72,813,Male,29,6,0,1,1,0,33953.87
73,657,Female,37,0,163607.18,1,0,1,44203.55
74,604,Female,25,5,157780.84,2,1,1,58426.81
75,519,Male,36,9,0,2,0,1,145562.4
76,735,Female,21,1,178718.19,2,1,0,22388
77,664,Male,55,8,0,2,1,1,139161.64
78,678,Female,32,9,0,1,1,1,148210.64
79,757,Male,33,5,77253.22,1,0,1,194239.63
80,416,Female,41,10,122189.66,2,1,0,98301.61
81,665,Female,34,1,96645.54,2,0,0,171413.66
82,777,female,32,2,0,1,1,0,136458.19
83,543,Female,36,3,0,2,0,0,26019.59
84,506,F,34,4,90307.62,1,1,1,159235.29
85,493,Female,46,4,0,2,1,0,1907.66
86,652,Female,75,10,0,2,1,1,114675.75
87,750,Male,22,3,121681.82,1,1,0,128643.35
88,729,Male,30,9,0,2,1,0,151869.35
89,646,f,46,4,0,3,1,0,93251.42
90,635,Female,28,3,81623.67,2,1,1,156791.36
91,647,Female,44,5,0,3,1,1,174205.22
92,808,Male,45,7,118626.55,2,1,0,147132.46
93,524,Female,36,10,0,2,1,0,109614.57
94,769,Male,29,8,0,2,1,1,172290.61
95,730,Male,42,4,0,2,0,1,85982.47
96,515,Male,35,10,176273.95,1,0,1,121277.78
97,773,Male,41,9,102827.44,1,0,1,64595.25
98,814,m,29,8,97086.4,2,1,1,197276.13
99,710,Male,22,8,0,2,0,0,99645.04
100,413,Male,34,9,0,2,0,0,6534.18
101,665,Female,40,6,0,1,1,1,161848.03
102,623,Female,44,6,0,2,0,0,167162.43
103,738,Male,31,9,82674.15,1,1,0,41970.72
104,528,Male,36,7,0,2,1,0,60536.56
105,670,Female,65,1,0,1,1,1,177655.68
106,622,Female,46,4,107073.27,2,1,1,30984.59
107,582,m,32,1,88938.62,1,1,1,10054.53
108,785,Female,36,2,99806.85,1,0,1,36976.52
109,605,Male,33,5,150092.8,1,0,0,71862.79
110,479,Male,35,9,92833.89,1,1,0,99449.86
111,685,Male,30,3,90536.81,1,0,1,63082.88
112,538,Male,39,7,108055.1,2,1,0,27231.26
113,562,Male,42,2,100238.35,1,0,0,86797.41
114,675,M,36,9,106190.55,1,0,1,22994.32
115,721,Male,28,9,154475.54,2,0,1,101300.94
116,628,Female,30,9,132351.29,2,1,1,74169.13
117,668,Female,37,6,167864.4,1,1,0,115638.29
118,506,Female,41,1,0,2,1,0,31766.3
119,524,Female,31,8,107818.63,1,1,0,199725.39
120,699,Male,34,4,185173.81,2,1,0,120834.48
121,828,Male,34,8,129433.34,2,0,0,38131.77
122,674,Male,39,6,120193.42,1,0,0,100130.95
123,656,Female,39,6,0,2,1,0,141069.88
124,684,Female,48,10,126384.42,1,1,1,198129.36
125,625,Female,28,3,0,1,0,0,183646.41
126,432,Male,42,9,152603.45,1,1,0,110265.24
127,549,Female,52,1,0,1,0,1,8636.05
128,625,Male,56,0,148507.24,1,1,0,46824.08
129,828,Female,41,7,0,2,1,0,171378.77
130,770,Male,24,9,101827.07,1,1,0,167256.35
131,758,Female,34,3,0,2,1,1,124226.16
132,795,Female,33,9,130862.43,1,1,1,114935.21
133,687,M,38,9,122570.87,1,1,1,35608.88
134,686,Male,25,1,0,2,0,1,16459.37
135,789,Male,39,7,124828.46,2,1,1,124411.08
136,589,Female,50,5,144895.05,2,1,1,34941.23
137,461,Female,34,5,63663.93,1,0,1,167784.28
138,637,Male,40,2,133463.1,1,0,1,93165.34
139,584,Female,48,2,213146.2,1,1,0,75161.25
140,579,Female,35,1,129490.36,2,0,1,8590.83
141,756,Male,44,10,137452.09,1,1,0,189543.9
142,663,Male,34,7,0,2,1,1,180427.24
143,682,Female,43,5,125851.93,1,1,1,193318.33
144,793,M,52,2,0,1,1,0,159123.82
145,691,Female,31,5,40915.55,1,1,0,126213.84
146,485,Female,21,5,113157.22,1,1,1,54141.5
147,635,Female,29,8,138296.94,2,1,0,141075.51
148,650,Male,37,5,106967.18,1,0,0,24495.03
149,735,Male,44,9,120681.63,1,1,0,74836.34
150,416,Male,32,0,0,2,0,1,878.87
151,754,Female,32,7,0,2,1,0,89520.75
152,535,Female,48,9,0,1,1,0,149892.79
153,716,Male,42,8,0,2,1,0,180800.42
154,539,Male,37,2,127609.59,1,1,0,98646.22
155,614,Female,43,6,0,2,1,1,109041.53
156,706,Male,57,7,0,1,1,0,17941.16
157,758,Female,33,7,0,2,0,0,82996.47
158,586,Female,28,2,0,2,1,1,92067.35
159,646,Female,73,6,97259.25,1,0,1,104719.66
160,631,Female,33,4,123246.7,1,0,0,112687.57
161,717,female,22,6,101060.25,1,0,1,84699.56
162,684,Male,30,2,0,2,1,0,83473.82
163,800,Female,49,7,108007.36,1,0,0,47125.11
164,721,Female,36,2,0,2,1,1,106977.8
165,683,Male,29,0,133702.89,1,1,0,55582.54
166,660,Male,31,9,125189.75,2,1,1,139874.43
167,704,F,24,7,113034.22,1,1,0,162503.48
168,615,Female,41,9,109013.23,1,1,0,196499.96
169,667,Female,39,2,0,2,1,0,40721.24
170,682,Male,24,9,57929.81,2,0,0,53134.3
171,484,Female,29,4,130114.39,1,1,0,164017.89
172,628,Male,27,5,95826.49,2,1,0,155996.96
173,480,Male,44,10,129608.57,1,1,0,5472.7
174,578,Male,30,4,169462.09,1,1,0,112187.11
175,512,Male,40,5,0,2,1,1,146457.83
176,484,Female,35,7,133868.21,1,1,1,27286.1
177,510,Female,30,0,0,2,1,1,130553.47
178,606,M,36,5,190479.48,2,0,0,179351.89
179,597,Female,40,8,101993.12,1,0,1,94774.12
180,754,Female,55,3,161608.81,1,1,0,8080.85
181,850,Female,45,2,122311.21,1,1,1,19482.5
182,510,Male,65,2,0,2,1,1,48071.61
183,778,Female,45,1,162150.42,2,1,0,174531.27
184,636,Male,42,2,0,2,1,1,55470.78
185,804,Female,50,4,0,1,1,1,8546.87
186,514,Male,32,8,0,2,1,0,95857.18
187,730,female,39,1,99010.67,1,1,0,194945.8
188,525,Female,37,0,0,1,0,1,131521.72
189,616,Male,30,5,0,2,0,1,196108.51
190,687,Female,34,7,111388.18,2,1,0,148564.76
191,715,Female,41,8,56214.85,2,0,0,92982.61
192,512,Female,36,3,84327.77,2,1,0,17675.36
193,479,Male,40,1,0,2,0,0,114996.43
194,601,Male,32,8,93012.89,1,1,0,86957.42
195,580,Male,29,9,61710.44,2,1,0,128077.8
196,807,Male,35,3,174790.15,1,1,1,600.36
197,616,F,32,6,0,2,1,1,43001.46
198,721,Male,37,3,107720.64,1,1,1,158591.12
199,501,Male,57,10,0,2,1,1,47847.19
200,521,Male,35,6,96423.84,1,1,0,10488.44
201,850,Male,30,2,141040.01,1,1,1,5978.2
202,759,Male,42,4,105420.18,1,0,1,121409.06
203,516,Male,50,5,0,1,0,1,146145.93
204,711,Female,38,2,129022.06,2,1,1,14374.86
205,512,Male,33,3,176666.62,1,1,0,94670.77
